age,lives_alone,marital_status,weekly_family_visits,weekly_friend_interactions,community_events_attended,volunteer_hours,religious_participation_hours,exercise_days,uses_video_calls,transportation_access,mobility_limitations,depression_symptoms,isolation_risk_score
79,No,Widowed,1,3,0,0.2,0.1,2,Weekly,Public transit,Mild,Low,61.2
74,Yes,Widowed,2,1,1,0.5,0.6,2,Monthly,Can drive,Mild,Low,69.1
80,No,Married,2,1,0,2.3,0.9,1,Monthly,Public transit,Moderate,Low,63.1
87,Yes,Single,0,0,0,0.5,0.1,0,Monthly,Public transit,Moderate,Moderate,87.8
73,Yes,Widowed,1,0,1,0.4,0.2,0,Monthly,Family,Severe,Moderate,80.4
73,No,Married,2,1,1,1.2,0.3,2,Monthly,Can drive,Mild,Low,50.1
88,No,Married,1,0,0,0.6,0.3,1,Daily,Family,Severe,Low,73.1
81,No,Married,1,0,0,0.2,0.7,1,Weekly,Can drive,Severe,Low,54.2
71,No,Married,1,2,1,3.2,1.1,5,Weekly,Can drive,None,Moderate,43.6
79,No,Married,0,0,0,0.0,0.2,1,Weekly,None,Severe,Moderate,77.7
71,Yes,Married,1,0,0,2.4,1.9,2,Monthly,Can drive,None,Low,64.1
71,No,Married,1,0,0,1.2,0.8,0,Never,Family,Moderate,Low,74.3
77,No,Married,1,2,0,1.4,1.0,0,Monthly,Public transit,Mild,Low,73.1
60,No,Divorced,0,0,4,0.2,0.2,2,Weekly,None,Moderate,Moderate,67.3
61,No,Married,0,0,1,3.8,1.4,2,Weekly,None,Moderate,Low,57.6
71,Yes,Widowed,1,2,1,0.6,0.7,2,Monthly,Can drive,Moderate,Moderate,69.9
67,Yes,Widowed,1,0,1,2.3,1.0,1,Weekly,Family,Mild,Moderate,67.5
78,Yes,Single,1,3,0,0.7,0.6,2,Monthly,Can drive,None,High,67.4
68,No,Married,4,0,2,2.8,0.6,2,Never,Public transit,None,Low,50.5
64,No,Married,4,2,2,1.7,4.4,2,Weekly,Can drive,None,Low,38.2
87,No,Single,0,1,1,3.6,0.6,0,Weekly,Public transit,None,Moderate,63.2
73,Yes,Divorced,2,1,0,1.0,0.1,1,Never,Public transit,Mild,High,76.6
76,No,Divorced,1,0,2,0.8,1.2,2,Monthly,Public transit,None,Moderate,68.4
64,No,Married,0,1,0,0.7,0.3,0,Weekly,None,Severe,Low,67.3
71,No,Married,2,2,0,1.7,2.3,5,Monthly,None,Mild,Moderate,53.8
